x,y
318,279
320,266
323,253
334,233
344,238
343,243
354,243
341,252
336,256
333,263
344,259
350,254
361,253
359,263
343,266
333,274
329,271
322,277
347,217
366,238
379,260
387,287
409,288
397,304
387,338
398,361
429,378
410,379
393,392
383,408
378,425
365,437
352,450
343,469
318,485
314,497
323,518
341,527
360,523
382,521
405,523
419,517
416,499
424,509
434,513
440,525
478,527
470,500
488,509
473,470
463,450
468,429
478,451
488,464
499,493
517,510
523,504
513,485
540,497
552,511
561,528
593,526
565,495
549,479
536,457
552,464
570,474
581,485
580,469
570,445
555,427
543,430
523,420
515,419
517,402
495,390
490,379
481,377
472,361
472,345
446,281
406,250
384,226
352,216
331,284
319,291
308,298
292,308
291,338
276,355
276,372
341,227
346,234
343,244
356,242
345,254
333,264
362,253
355,263
338,276
365,270
346,282
314,311
325,313
338,297
354,290
371,284
379,293
367,295
356,296
340,301
339,318
338,328
324,333
292,351
319,343
312,354
304,365
306,377
315,373
324,367
334,360
334,377
325,393
313,399
295,406
276,413
261,427
252,438
245,447
227,448
222,464
216,483
237,475
256,478
258,494
270,484
277,462
296,437
300,461
290,481
275,495
256,517
231,521
229,496
211,507
185,515
194,489
204,474
212,447
231,420
250,406
268,395
276,376
277,351
287,329
297,301
311,290
324,282
322,260
329,244
336,228
